Sentiment,UserID,DateTime,Product,User,Comment,NO_Punctuations,Tokenized_Data,Stop_Words_Removed
2,13,Mon May 11 03:32:42 UTC 2009,obama,jpeb,Check this video out -- President Obama at the White House Correspondents' Dinner http://bit.ly/IMXUM,check this video out  president obama at the white house correspondents dinner httpbitlyimxum,"['check', 'this', 'video', 'out', 'president', 'obama', 'at', 'the', 'white', 'house', 'correspondents', 'dinner', 'httpbitlyimxum']","['check', 'video', 'president', 'obama', 'white', 'house', 'correspondents', 'dinner', 'httpbitlyimxum']"
0,14,Mon May 11 03:32:48 UTC 2009,obama,kylesellers,"@Karoli I firmly believe that Obama/Pelosi have ZERO desire to be civil.  It's a charade and a slogan, but they want to destroy conservatism",karoli i firmly believe that obamapelosi have zero desire to be civil  its a charade and a slogan but they want to destroy conservatism,"['karoli', 'i', 'firmly', 'believe', 'that', 'obamapelosi', 'have', 'zero', 'desire', 'to', 'be', 'civil', 'its', 'a', 'charade', 'and', 'a', 'slogan', 'but', 'they', 'want', 'to', 'destroy', 'conservatism']","['karoli', 'firmly', 'believe', 'obamapelosi', 'zero', 'desire', 'civil', 'charade', 'slogan', 'want', 'destroy', 'conservatism']"
4,15,Mon May 11 03:33:38 UTC 2009,obama,theviewfans,"House Correspondents dinner was last night whoopi, barbara &amp; sherri went, Obama got a standing ovation",house correspondents dinner was last night whoopi barbara amp sherri went obama got a standing ovation,"['house', 'correspondents', 'dinner', 'was', 'last', 'night', 'whoopi', 'barbara', 'amp', 'sherri', 'went', 'obama', 'got', 'a', 'standing', 'ovation']","['house', 'correspondents', 'dinner', 'last', 'night', 'whoopi', 'barbara', 'amp', 'sherri', 'went', 'obama', 'got', 'standing', 'ovation']"
4,16,Mon May 11 05:05:58 UTC 2009,nike,MumsFP,Watchin Espn..Jus seen this new Nike Commerical with a Puppet Lebron..sh*t was hilarious...LMAO!!!,watchin espnjus seen this new nike commerical with a puppet lebronsht was hilariouslmao,"['watchin', 'espnjus', 'seen', 'this', 'new', 'nike', 'commerical', 'with', 'a', 'puppet', 'lebronsht', 'was', 'hilariouslmao']","['watchin', 'espnjus', 'seen', 'new', 'nike', 'commerical', 'puppet', 'lebronsht', 'hilariouslmao']"
0,17,Mon May 11 05:06:22 UTC 2009,nike,vincentx24x,"dear nike, stop with the flywire. that shit is a waste of science. and ugly. love, @vincentx24x",dear nike stop with the flywire that shit is a waste of science and ugly love vincentx24x,"['dear', 'nike', 'stop', 'with', 'the', 'flywire', 'that', 'shit', 'is', 'a', 'waste', 'of', 'science', 'and', 'ugly', 'love', 'vincentx24x']","['dear', 'nike', 'stop', 'flywire', 'shit', 'waste', 'science', 'ugly', 'love', 'vincentx24x']"
4,18,Mon May 11 05:20:15 UTC 2009,lebron,cameronwylie,"#lebron best athlete of our generation, if not all time (basketball related) I don't want to get into inter-sport debates about   __1/2",lebron best athlete of our generation if not all time basketball related i dont want to get into intersport debates about   12,"['lebron', 'best', 'athlete', 'of', 'our', 'generation', 'if', 'not', 'all', 'time', 'basketball', 'related', 'i', 'dont', 'want', 'to', 'get', 'into', 'intersport', 'debates', 'about', '12']","['lebron', 'best', 'athlete', 'generation', 'time', 'basketball', 'related', 'dont', 'want', 'get', 'intersport', 'debates', '12']"
0,19,Mon May 11 05:20:28 UTC 2009,lebron,luv8242,I was talking to this guy last night and he was telling me that he is a die hard Spurs fan.  He also told me that he hates LeBron James.,i was talking to this guy last night and he was telling me that he is a die hard spurs fan  he also told me that he hates lebron james,"['i', 'was', 'talking', 'to', 'this', 'guy', 'last', 'night', 'and', 'he', 'was', 'telling', 'me', 'that', 'he', 'is', 'a', 'die', 'hard', 'spurs', 'fan', 'he', 'also', 'told', 'me', 'that', 'he', 'hates', 'lebron', 'james']","['talking', 'guy', 'last', 'night', 'telling', 'die', 'hard', 'spurs', 'fan', 'also', 'told', 'hates', 'lebron', 'james']"
4,20,Mon May 11 05:21:04 UTC 2009,lebron,mtgillikin,i love lebron. http://bit.ly/PdHur,i love lebron httpbitlypdhur,"['i', 'love', 'lebron', 'httpbitlypdhur']","['love', 'lebron', 'httpbitlypdhur']"
0,21,Mon May 11 05:21:37 UTC 2009,lebron,ursecretdezire,"@ludajuice Lebron is a Beast, but I'm still cheering 4 the A..til the end.",ludajuice lebron is a beast but im still cheering 4 the atil the end,"['ludajuice', 'lebron', 'is', 'a', 'beast', 'but', 'im', 'still', 'cheering', '4', 'the', 'atil', 'the', 'end']","['ludajuice', 'lebron', 'beast', 'im', 'still', 'cheering', '4', 'atil', 'end']"
4,22,Mon May 11 05:21:45 UTC 2009,lebron,Native_01,@Pmillzz lebron IS THE BOSS,pmillzz lebron is the boss,"['pmillzz', 'lebron', 'is', 'the', 'boss']","['pmillzz', 'lebron', 'boss']"
4,23,Mon May 11 05:22:03 UTC 2009,lebron,princezzcutz,"@sketchbug Lebron is a hometown hero to me, lol I love the Lakers but let's go Cavs, lol",sketchbug lebron is a hometown hero to me lol i love the lakers but lets go cavs lol,"['sketchbug', 'lebron', 'is', 'a', 'hometown', 'hero', 'to', 'me', 'lol', 'i', 'love', 'the', 'lakers', 'but', 'lets', 'go', 'cavs', 'lol']","['sketchbug', 'lebron', 'hometown', 'hero', 'lol', 'love', 'lakers', 'lets', 'go', 'cavs', 'lol']"
4,24,Mon May 11 05:22:12 UTC 2009,lebron,peterlikewhat,lebron and zydrunas are such an awesome duo,lebron and zydrunas are such an awesome duo,"['lebron', 'and', 'zydrunas', 'are', 'such', 'an', 'awesome', 'duo']","['lebron', 'zydrunas', 'awesome', 'duo']"
4,25,Mon May 11 05:22:37 UTC 2009,lebron,emceet,@wordwhizkid Lebron is a beast... nobody in the NBA comes even close.,wordwhizkid lebron is a beast nobody in the nba comes even close,"['wordwhizkid', 'lebron', 'is', 'a', 'beast', 'nobody', 'in', 'the', 'nba', 'comes', 'even', 'close']","['wordwhizkid', 'lebron', 'beast', 'nobody', 'nba', 'comes', 'even', 'close']"
4,26,Mon May 11 06:02:24 UTC 2009,iphone app,CocoSavanna,downloading apps for my iphone! So much fun :-) There literally is an app for just about anything.,downloading apps for my iphone so much fun  there literally is an app for just about anything,"['downloading', 'apps', 'for', 'my', 'iphone', 'so', 'much', 'fun', 'there', 'literally', 'is', 'an', 'app', 'for', 'just', 'about', 'anything']","['downloading', 'apps', 'iphone', 'much', 'fun', 'literally', 'app', 'anything']"
4,33,Mon May 11 19:47:29 UTC 2009,visa,DreambigRadio,"good news, just had a call from the Visa office, saying everything is fine.....what a relief! I am sick of scams out there! Stealing!",good news just had a call from the visa office saying everything is finewhat a relief i am sick of scams out there stealing,"['good', 'news', 'just', 'had', 'a', 'call', 'from', 'the', 'visa', 'office', 'saying', 'everything', 'is', 'finewhat', 'a', 'relief', 'i', 'am', 'sick', 'of', 'scams', 'out', 'there', 'stealing']","['good', 'news', 'call', 'visa', 'office', 'saying', 'everything', 'finewhat', 'relief', 'sick', 'scams', 'stealing']"
4,34,Mon May 11 19:49:21 UTC 2009,fredwilson,andrewwatson,http://twurl.nl/epkr4b - awesome come back from @biz (via @fredwilson),httptwurlnlepkr4b  awesome come back from biz via fredwilson,"['httptwurlnlepkr4b', 'awesome', 'come', 'back', 'from', 'biz', 'via', 'fredwilson']","['httptwurlnlepkr4b', 'awesome', 'come', 'back', 'biz', 'via', 'fredwilson']"
4,35,Mon May 11 19:50:07 UTC 2009,fredwilson,fredwilson,In montreal for a long weekend of R&amp;R. Much needed.,in montreal for a long weekend of rampr much needed,"['in', 'montreal', 'for', 'a', 'long', 'weekend', 'of', 'rampr', 'much', 'needed']","['montreal', 'long', 'weekend', 'rampr', 'much', 'needed']"
4,46,Thu May 14 02:58:07 UTC 2009,"""booz allen""",JoeSchueller,Booz Allen Hamilton has a bad ass homegrown social collaboration platform. Way cool!  #ttiv,booz allen hamilton has a bad ass homegrown social collaboration platform way cool  ttiv,"['booz', 'allen', 'hamilton', 'has', 'a', 'bad', 'ass', 'homegrown', 'social', 'collaboration', 'platform', 'way', 'cool', 'ttiv']","['booz', 'allen', 'hamilton', 'bad', 'ass', 'homegrown', 'social', 'collaboration', 'platform', 'way', 'cool', 'ttiv']"
4,47,Thu May 14 02:58:23 UTC 2009,"""booz allen""",scottabel,[#MLUC09] Customer Innovation Award Winner: Booz Allen Hamilton -- http://ping.fm/c2hPP,mluc09 customer innovation award winner booz allen hamilton  httppingfmc2hpp,"['mluc09', 'customer', 'innovation', 'award', 'winner', 'booz', 'allen', 'hamilton', 'httppingfmc2hpp']","['mluc09', 'customer', 'innovation', 'award', 'winner', 'booz', 'allen', 'hamilton', 'httppingfmc2hpp']"
4,49,Thu May 14 05:24:50 UTC 2009,40d,JustMe_D,"@SoChi2 I current use the Nikon D90 and love it, but not as much as the Canon 40D/50D. I chose the D90 for the  video feature. My mistake.",sochi2 i current use the nikon d90 and love it but not as much as the canon 40d50d i chose the d90 for the  video feature my mistake,"['sochi2', 'i', 'current', 'use', 'the', 'nikon', 'd90', 'and', 'love', 'it', 'but', 'not', 'as', 'much', 'as', 'the', 'canon', '40d50d', 'i', 'chose', 'the', 'd90', 'for', 'the', 'video', 'feature', 'my', 'mistake']","['sochi2', 'current', 'use', 'nikon', 'd90', 'love', 'much', 'canon', '40d50d', 'chose', 'd90', 'video', 'feature', 'mistake']"
2,50,Thu May 14 05:25:04 UTC 2009,40d,hiteshbagai,need suggestions for a good IR filter for my canon 40D ... got some? pls DM,need suggestions for a good ir filter for my canon 40d  got some pls dm,"['need', 'suggestions', 'for', 'a', 'good', 'ir', 'filter', 'for', 'my', 'canon', '40d', 'got', 'some', 'pls', 'dm']","['need', 'suggestions', 'good', 'ir', 'filter', 'canon', '40d', 'got', 'pls', 'dm']"
2,117,Sat May 16 16:18:36 UTC 2009,google,Annimallover,@surfit: I just checked my google for my business- blip shows up as the second entry! Huh. Is that a good or ba... ? http://blip.fm/~6emhv,surfit i just checked my google for my business blip shows up as the second entry huh is that a good or ba  httpblipfm6emhv,"['surfit', 'i', 'just', 'checked', 'my', 'google', 'for', 'my', 'business', 'blip', 'shows', 'up', 'as', 'the', 'second', 'entry', 'huh', 'is', 'that', 'a', 'good', 'or', 'ba', 'httpblipfm6emhv']","['surfit', 'checked', 'google', 'business', 'blip', 'shows', 'second', 'entry', 'huh', 'good', 'ba', 'httpblipfm6emhv']"
4,118,Sat May 16 16:19:04 UTC 2009,google,J_Holl,"@phyreman9 Google is always a good place to look. Should've mentioned I worked on the Mustang w/ my Dad, @KimbleT.",phyreman9 google is always a good place to look shouldve mentioned i worked on the mustang w my dad kimblet,"['phyreman9', 'google', 'is', 'always', 'a', 'good', 'place', 'to', 'look', 'shouldve', 'mentioned', 'i', 'worked', 'on', 'the', 'mustang', 'w', 'my', 'dad', 'kimblet']","['phyreman9', 'google', 'always', 'good', 'place', 'look', 'shouldve', 'mentioned', 'worked', 'mustang', 'w', 'dad', 'kimblet']"
0,119,Sat May 16 16:19:24 UTC 2009,google,vamsmack,Played with an android google phone. The slide out screen scares me I would break that fucker so fast. Still prefer my iPhone.,played with an android google phone the slide out screen scares me i would break that fucker so fast still prefer my iphone,"['played', 'with', 'an', 'android', 'google', 'phone', 'the', 'slide', 'out', 'screen', 'scares', 'me', 'i', 'would', 'break', 'that', 'fucker', 'so', 'fast', 'still', 'prefer', 'my', 'iphone']","['played', 'android', 'google', 'phone', 'slide', 'screen', 'scares', 'would', 'break', 'fucker', 'fast', 'still', 'prefer', 'iphone']"
0,120,Sat May 16 16:25:41 UTC 2009,aig,schroncd,US planning to resume the military tribunals at Guantanamo Bay... only this time those on trial will be AIG execs and Chrysler debt holders,us planning to resume the military tribunals at guantanamo bay only this time those on trial will be aig execs and chrysler debt holders,"['us', 'planning', 'to', 'resume', 'the', 'military', 'tribunals', 'at', 'guantanamo', 'bay', 'only', 'this', 'time', 'those', 'on', 'trial', 'will', 'be', 'aig', 'execs', 'and', 'chrysler', 'debt', 'holders']","['us', 'planning', 'resume', 'military', 'tribunals', 'guantanamo', 'bay', 'time', 'trial', 'aig', 'execs', 'chrysler', 'debt', 'holders']"
0,121,Sat May 16 22:42:07 UTC 2009,itchy,MarissaLeeD,omg so bored &amp; my tattoooos are so itchy!!  help! aha =),omg so bored amp my tattoooos are so itchy  help aha ,"['omg', 'so', 'bored', 'amp', 'my', 'tattoooos', 'are', 'so', 'itchy', 'help', 'aha', '']","['omg', 'bored', 'amp', 'tattoooos', 'itchy', 'help', 'aha', '']"
0,122,Sat May 16 22:42:25 UTC 2009,itchy,robloposky,I'm itchy and miserable!,im itchy and miserable,"['im', 'itchy', 'and', 'miserable']","['im', 'itchy', 'miserable']"
0,123,Sat May 16 22:42:44 UTC 2009,itchy,EdwinLValencia,"@sekseemess no. I'm not itchy for now. Maybe later, lol.",sekseemess no im not itchy for now maybe later lol,"['sekseemess', 'no', 'im', 'not', 'itchy', 'for', 'now', 'maybe', 'later', 'lol']","['sekseemess', 'im', 'itchy', 'maybe', 'later', 'lol']"
4,124,Sat May 16 23:48:15 UTC 2009,stanford,imusicmash,RT @jessverr I love the nerdy Stanford human biology videos - makes me miss school. http://bit.ly/13t7NR,rt jessverr i love the nerdy stanford human biology videos  makes me miss school httpbitly13t7nr,"['rt', 'jessverr', 'i', 'love', 'the', 'nerdy', 'stanford', 'human', 'biology', 'videos', 'makes', 'me', 'miss', 'school', 'httpbitly13t7nr']","['rt', 'jessverr', 'love', 'nerdy', 'stanford', 'human', 'biology', 'videos', 'makes', 'miss', 'school', 'httpbitly13t7nr']"
4,125,Sat May 16 23:58:34 UTC 2009,lyx,drewloewe,"@spinuzzi: Has been a bit crazy, with steep learning curve, but LyX is really good for long docs. For anything shorter, it would be insane.",spinuzzi has been a bit crazy with steep learning curve but lyx is really good for long docs for anything shorter it would be insane,"['spinuzzi', 'has', 'been', 'a', 'bit', 'crazy', 'with', 'steep', 'learning', 'curve', 'but', 'lyx', 'is', 'really', 'good', 'for', 'long', 'docs', 'for', 'anything', 'shorter', 'it', 'would', 'be', 'insane']","['spinuzzi', 'bit', 'crazy', 'steep', 'learning', 'curve', 'lyx', 'really', 'good', 'long', 'docs', 'anything', 'shorter', 'would', 'insane']"
4,131,Sun May 17 15:05:03 UTC 2009,Danny Gokey,VickyTigger,"I'm listening to ""P.Y.T"" by Danny Gokey &lt;3 &lt;3 &lt;3 Aww, he's so amazing. I &lt;3 him so much :)",im listening to pyt by danny gokey lt3 lt3 lt3 aww hes so amazing i lt3 him so much ,"['im', 'listening', 'to', 'pyt', 'by', 'danny', 'gokey', 'lt3', 'lt3', 'lt3', 'aww', 'hes', 'so', 'amazing', 'i', 'lt3', 'him', 'so', 'much', '']","['im', 'listening', 'pyt', 'danny', 'gokey', 'lt3', 'lt3', 'lt3', 'aww', 'hes', 'amazing', 'lt3', 'much', '']"
4,132,Sun May 17 17:27:45 UTC 2009,sleep,babblyabbie,is going to sleep then on a bike ride:],is going to sleep then on a bike ride,"['is', 'going', 'to', 'sleep', 'then', 'on', 'a', 'bike', 'ride']","['going', 'sleep', 'bike', 'ride']"
0,133,Sun May 17 17:27:49 UTC 2009,sleep,kisjoaquin,cant sleep... my tooth is aching.,cant sleep my tooth is aching,"['cant', 'sleep', 'my', 'tooth', 'is', 'aching']","['cant', 'sleep', 'tooth', 'aching']"
0,134,Sun May 17 17:28:02 UTC 2009,sleep,Whacktackular,"Blah, blah, blah same old same old. No plans today, going back to sleep I guess.",blah blah blah same old same old no plans today going back to sleep i guess,"['blah', 'blah', 'blah', 'same', 'old', 'same', 'old', 'no', 'plans', 'today', 'going', 'back', 'to', 'sleep', 'i', 'guess']","['blah', 'blah', 'blah', 'old', 'old', 'plans', 'today', 'going', 'back', 'sleep', 'guess']"
0,135,Sun May 17 17:29:50 UTC 2009,san francisco,Adrigonzo,"glad i didnt do Bay to Breakers today, it's 1000 freaking degrees in San Francisco wtf",glad i didnt do bay to breakers today its 1000 freaking degrees in san francisco wtf,"['glad', 'i', 'didnt', 'do', 'bay', 'to', 'breakers', 'today', 'its', '1000', 'freaking', 'degrees', 'in', 'san', 'francisco', 'wtf']","['glad', 'didnt', 'bay', 'breakers', 'today', '1000', 'freaking', 'degrees', 'san', 'francisco', 'wtf']"
2,136,Sun May 17 17:30:19 UTC 2009,san francisco,sulu34,is in San Francisco at Bay to Breakers.,is in san francisco at bay to breakers,"['is', 'in', 'san', 'francisco', 'at', 'bay', 'to', 'breakers']","['san', 'francisco', 'bay', 'breakers']"
2,137,Sun May 17 17:30:23 UTC 2009,san francisco,schuyler,just landed at San Francisco,just landed at san francisco,"['just', 'landed', 'at', 'san', 'francisco']","['landed', 'san', 'francisco']"
2,138,Sun May 17 17:30:56 UTC 2009,san francisco,MattBragoni,San Francisco today.  Any suggestions?,san francisco today  any suggestions,"['san', 'francisco', 'today', 'any', 'suggestions']","['san', 'francisco', 'today', 'suggestions']"
0,139,Sun May 17 17:32:00 UTC 2009,aig,KennyTRoland,?Obama Administration Must Stop Bonuses to AIG Ponzi Schemers ... http://bit.ly/2CUIg,obama administration must stop bonuses to aig ponzi schemers  httpbitly2cuig,"['obama', 'administration', 'must', 'stop', 'bonuses', 'to', 'aig', 'ponzi', 'schemers', 'httpbitly2cuig']","['obama', 'administration', 'must', 'stop', 'bonuses', 'aig', 'ponzi', 'schemers', 'httpbitly2cuig']"
0,140,Sun May 17 17:32:30 UTC 2009,aig,aMild,started to think that Citi is in really deep s&amp;^t. Are they gonna survive the turmoil or are they gonna be the next AIG?,started to think that citi is in really deep sampt are they gonna survive the turmoil or are they gonna be the next aig,"['started', 'to', 'think', 'that', 'citi', 'is', 'in', 'really', 'deep', 'sampt', 'are', 'they', 'gonna', 'survive', 'the', 'turmoil', 'or', 'are', 'they', 'gonna', 'be', 'the', 'next', 'aig']","['started', 'think', 'citi', 'really', 'deep', 'sampt', 'gonna', 'survive', 'turmoil', 'gonna', 'next', 'aig']"
0,141,Sun May 17 17:32:36 UTC 2009,aig,Trazor1,ShaunWoo hate'n on AiG,shaunwoo haten on aig,"['shaunwoo', 'haten', 'on', 'aig']","['shaunwoo', 'haten', 'aig']"
4,142,Sun May 17 17:35:17 UTC 2009,star trek,mimknits,@YarnThing you will not regret going to see Star Trek. It was AWESOME!,yarnthing you will not regret going to see star trek it was awesome,"['yarnthing', 'you', 'will', 'not', 'regret', 'going', 'to', 'see', 'star', 'trek', 'it', 'was', 'awesome']","['yarnthing', 'regret', 'going', 'see', 'star', 'trek', 'awesome']"
2,143,Sun May 17 17:35:28 UTC 2009,star trek,GeeRen,On my way to see Star Trek @ The Esquire.,on my way to see star trek  the esquire,"['on', 'my', 'way', 'to', 'see', 'star', 'trek', 'the', 'esquire']","['way', 'see', 'star', 'trek', 'esquire']"
2,144,Sun May 17 17:35:45 UTC 2009,star trek,checkyesjess,Going to see star trek soon with my dad.,going to see star trek soon with my dad,"['going', 'to', 'see', 'star', 'trek', 'soon', 'with', 'my', 'dad']","['going', 'see', 'star', 'trek', 'soon', 'dad']"
0,145,Mon May 18 01:13:27 UTC 2009,Malcolm Gladwell,renano,annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.,annoying new trend on the internets  people picking apart michael lewis and malcolm gladwell  nobody wants to read that,"['annoying', 'new', 'trend', 'on', 'the', 'internets', 'people', 'picking', 'apart', 'michael', 'lewis', 'and', 'malcolm', 'gladwell', 'nobody', 'wants', 'to', 'read', 'that']","['annoying', 'new', 'trend', 'internets', 'people', 'picking', 'apart', 'michael', 'lewis', 'malcolm', 'gladwell', 'nobody', 'wants', 'read']"
2,146,Mon May 18 01:14:41 UTC 2009,Malcolm Gladwell,kottkedotorg,Bill Simmons in conversation with Malcolm Gladwell http://bit.ly/j9o50,bill simmons in conversation with malcolm gladwell httpbitlyj9o50,"['bill', 'simmons', 'in', 'conversation', 'with', 'malcolm', 'gladwell', 'httpbitlyj9o50']","['bill', 'simmons', 'conversation', 'malcolm', 'gladwell', 'httpbitlyj9o50']"
4,147,Mon May 18 01:14:47 UTC 2009,Malcolm Gladwell,davidm89,Highly recommend: http://tinyurl.com/HowDavidBeatsGoliath by Malcolm Gladwell,highly recommend httptinyurlcomhowdavidbeatsgoliath by malcolm gladwell,"['highly', 'recommend', 'httptinyurlcomhowdavidbeatsgoliath', 'by', 'malcolm', 'gladwell']","['highly', 'recommend', 'httptinyurlcomhowdavidbeatsgoliath', 'malcolm', 'gladwell']"
4,148,Mon May 18 01:15:17 UTC 2009,Malcolm Gladwell,livreal,Blink by malcolm gladwell amazing book and The tipping point!,blink by malcolm gladwell amazing book and the tipping point,"['blink', 'by', 'malcolm', 'gladwell', 'amazing', 'book', 'and', 'the', 'tipping', 'point']","['blink', 'malcolm', 'gladwell', 'amazing', 'book', 'tipping', 'point']"
4,149,Mon May 18 01:16:12 UTC 2009,Malcolm Gladwell,mikearosso,Malcolm Gladwell might be my new man crush,malcolm gladwell might be my new man crush,"['malcolm', 'gladwell', 'might', 'be', 'my', 'new', 'man', 'crush']","['malcolm', 'gladwell', 'might', 'new', 'man', 'crush']"
0,150,Mon May 18 01:18:03 UTC 2009,espn,wendy93639,omg. The commercials alone on ESPN are going to drive me nuts.,omg the commercials alone on espn are going to drive me nuts,"['omg', 'the', 'commercials', 'alone', 'on', 'espn', 'are', 'going', 'to', 'drive', 'me', 'nuts']","['omg', 'commercials', 'alone', 'espn', 'going', 'drive', 'nuts']"
4,151,Mon May 18 03:11:06 UTC 2009,"""twitter api""",ClayFranklin,@robmalon Playing with Twitter API sounds fun.  May need to take a class or find a new friend who like to generate results with API code.,robmalon playing with twitter api sounds fun  may need to take a class or find a new friend who like to generate results with api code,"['robmalon', 'playing', 'with', 'twitter', 'api', 'sounds', 'fun', 'may', 'need', 'to', 'take', 'a', 'class', 'or', 'find', 'a', 'new', 'friend', 'who', 'like', 'to', 'generate', 'results', 'with', 'api', 'code']","['robmalon', 'playing', 'twitter', 'api', 'sounds', 'fun', 'may', 'need', 'take', 'class', 'find', 'new', 'friend', 'like', 'generate', 'results', 'api', 'code']"
2,152,Mon May 18 03:11:58 UTC 2009,"""twitter api""",cURLTesting,playing with cURL and the Twitter API,playing with curl and the twitter api,"['playing', 'with', 'curl', 'and', 'the', 'twitter', 'api']","['playing', 'curl', 'twitter', 'api']"
4,153,Mon May 18 03:12:13 UTC 2009,"""twitter api""",ringerdrop,Hello Twitter API ;),hello twitter api ,"['hello', 'twitter', 'api', '']","['hello', 'twitter', 'api', '']"
2,154,Mon May 18 03:12:18 UTC 2009,"""twitter api""",danserfaty,playing with Java and the Twitter API,playing with java and the twitter api,"['playing', 'with', 'java', 'and', 'the', 'twitter', 'api']","['playing', 'java', 'twitter', 'api']"
0,155,Mon May 18 03:12:40 UTC 2009,"""twitter api""",raykolbe,@morind45 Because the twitter api is slow and most client's aren't good.,morind45 because the twitter api is slow and most clients arent good,"['morind45', 'because', 'the', 'twitter', 'api', 'is', 'slow', 'and', 'most', 'clients', 'arent', 'good']","['morind45', 'twitter', 'api', 'slow', 'clients', 'arent', 'good']"
0,156,Mon May 18 03:13:03 UTC 2009,yahoo,CarolineVilas,yahoo answers can be a butt sometimes,yahoo answers can be a butt sometimes,"['yahoo', 'answers', 'can', 'be', 'a', 'butt', 'sometimes']","['yahoo', 'answers', 'butt', 'sometimes']"
4,157,Mon May 18 05:07:16 UTC 2009,scrapbooking,rachelbegins,is scrapbooking with Nic =D,is scrapbooking with nic d,"['is', 'scrapbooking', 'with', 'nic', 'd']","['scrapbooking', 'nic']"
4,172,Tue May 19 16:20:46 UTC 2009,wolfram alpha,leedscentlib,RT @mashable: Five Things Wolfram Alpha Does Better (And Vastly Different) Than Google - http://bit.ly/6nSnR,rt mashable five things wolfram alpha does better and vastly different than google  httpbitly6nsnr,"['rt', 'mashable', 'five', 'things', 'wolfram', 'alpha', 'does', 'better', 'and', 'vastly', 'different', 'than', 'google', 'httpbitly6nsnr']","['rt', 'mashable', 'five', 'things', 'wolfram', 'alpha', 'better', 'vastly', 'different', 'google', 'httpbitly6nsnr']"
